H_Gh/H_Dh/H_Bn,... in [kWh/m2day]	Ta in [°C]

Mon	day	H_Gh	H_Dh	H_Gk	H_Dk	H_Bn	Ta
1	1	1.02	0.82	1.02	0.82	0.79	9.2
1	2	0.70	0.68	0.70	0.68	0.07	3.4
1	3	0.59	0.59	0.59	0.59	0.00	3.6
1	4	0.40	0.40	0.40	0.40	0.00	1.8
1	5	0.91	0.80	0.91	0.80	0.38	1.6
1	6	0.84	0.55	0.84	0.55	1.11	0.0
1	7	0.63	0.43	0.63	0.43	0.75	0.7
1	8	1.02	0.86	1.02	0.86	0.61	-0.5
1	9	0.57	0.57	0.57	0.57	0.00	-1.7
1	10	1.42	0.72	1.42	0.72	2.44	-0.9
1	11	1.74	0.46	1.74	0.46	4.30	1.1
1	12	1.64	0.51	1.64	0.51	3.69	-5.7
1	13	1.46	0.70	1.46	0.70	2.55	-4.5
1	14	0.55	0.55	0.55	0.55	0.00	-2.5
1	15	0.17	0.17	0.17	0.17	0.00	-7.2
1	16	0.23	0.23	0.23	0.23	0.00	-3.3
1	17	1.67	0.77	1.67	0.77	2.80	-1.3
1	18	0.93	0.44	0.93	0.44	1.85	2.1
1	19	2.17	0.45	2.17	0.45	5.85	5.3
1	20	0.25	0.25	0.25	0.25	0.00	4.2
1	21	2.13	0.41	2.13	0.41	5.68	6.0
1	22	1.78	0.75	1.78	0.75	3.11	8.0
1	23	1.18	0.84	1.18	0.84	1.55	3.1
1	24	1.31	0.80	1.31	0.80	1.37	-3.8
1	25	1.16	0.87	1.16	0.87	0.86	-2.1
1	26	0.98	0.56	0.98	0.56	1.49	4.5
1	27	1.01	0.57	1.01	0.57	1.41	3.9
1	28	1.09	0.84	1.09	0.84	0.76	0.4
1	29	0.53	0.53	0.53	0.53	0.00	2.7
1	30	0.70	0.70	0.70	0.70	0.00	2.4
1	31	2.15	0.68	2.15	0.68	4.32	6.7
2	1	2.32	0.54	2.32	0.54	5.16	6.5
2	2	1.81	1.07	1.81	1.07	2.20	6.1
2	3	2.13	0.84	2.13	0.84	3.67	3.5
2	4	2.29	0.68	2.29	0.68	4.77	-1.4
2	5	2.68	0.45	2.68	0.45	6.57	1.8
2	6	1.38	1.04	1.38	1.04	0.86	0.6
2	7	0.43	0.43	0.43	0.43	0.00	2.1
2	8	0.40	0.40	0.40	0.40	0.00	-1.2
2	9	1.05	0.73	1.05	0.73	0.89	-1.9
2	10	1.79	1.03	1.79	1.03	2.40	-0.7
2	11	1.38	1.29	1.38	1.29	0.23	0.1
2	12	2.80	0.69	2.80	0.69	5.65	-0.2
2	13	2.00	1.46	2.00	1.46	1.42	2.6
2	14	1.80	1.29	1.80	1.29	1.55	-3.4
2	15	1.35	0.77	1.35	0.77	1.57	-2.7
2	16	2.12	1.19	2.12	1.19	2.32	1.4
2	17	1.49	0.83	1.49	0.83	1.76	4.2
2	18	1.51	1.11	1.51	1.11	0.94	1.0
2	19	1.11	0.88	1.11	0.88	0.58	3.0
2	20	2.05	1.67	2.05	1.67	0.92	5.0
2	21	2.43	1.53	2.43	1.53	2.19	8.6
2	22	1.46	1.41	1.46	1.41	0.12	9.4
2	23	2.63	1.27	2.63	1.27	3.27	5.4
2	24	2.78	1.51	2.78	1.51	3.27	5.8
2	25	1.62	0.82	1.62	0.82	2.37	4.6
2	26	1.88	1.71	1.88	1.71	0.43	3.9
2	27	3.04	1.36	3.04	1.36	4.19	7.1
2	28	2.78	1.65	2.78	1.65	2.63	7.8
3	1	2.58	1.71	2.58	1.71	2.42	5.7
3	2	2.87	1.52	2.87	1.52	3.07	5.2
3	3	3.58	1.16	3.58	1.16	5.57	2.8
3	4	2.88	1.82	2.88	1.82	2.91	1.5
3	5	2.31	1.45	2.31	1.45	1.79	2.1
3	6	2.28	1.82	2.28	1.82	0.87	4.0
3	7	3.80	1.09	3.80	1.09	5.81	3.6
3	8	3.16	1.85	3.16	1.85	2.78	-1.1
3	9	4.52	0.62	4.52	0.62	8.25	-0.1
3	10	4.55	0.62	4.55	0.62	8.23	0.9
3	11	2.13	1.98	2.13	1.98	0.32	4.4
3	12	2.18	2.03	2.18	2.03	0.29	3.2
3	13	3.70	1.70	3.70	1.70	4.29	4.9
3	14	1.50	1.47	1.50	1.47	0.06	6.0
3	15	3.16	2.26	3.16	2.26	1.86	7.2
3	16	2.03	1.69	2.03	1.69	0.89	7.8
3	17	1.83	1.29	1.83	1.29	1.07	13.2
3	18	1.72	1.30	1.72	1.30	0.89	10.4
3	19	5.04	0.67	5.04	0.67	8.70	9.4
3	20	4.52	1.31	4.52	1.31	6.16	6.5
3	21	4.32	1.67	4.32	1.67	5.26	6.9
3	22	3.87	2.10	3.87	2.10	3.43	10.0
3	23	4.83	1.18	4.83	1.18	7.18	8.5
3	24	1.96	1.91	1.96	1.91	0.08	9.0
3	25	4.56	1.80	4.56	1.80	5.06	8.8
3	26	2.38	2.26	2.38	2.26	0.21	7.5
3	27	2.68	2.42	2.68	2.42	0.44	11.4
3	28	0.81	0.81	0.81	0.81	0.00	10.7
3	29	3.67	2.41	3.67	2.41	2.34	8.2
3	30	1.41	1.40	1.41	1.40	0.01	9.5
3	31	3.76	2.71	3.76	2.71	1.84	12.4
4	1	4.17	2.52	4.17	2.52	2.81	8.7
4	2	3.37	2.72	3.37	2.72	1.14	9.0
4	3	3.39	2.18	3.39	2.18	2.49	5.2
4	4	5.91	0.93	5.91	0.93	8.71	10.6
4	5	5.46	1.57	5.46	1.57	6.86	14.5
4	6	1.78	1.74	1.78	1.74	0.08	13.4
4	7	4.49	2.22	4.49	2.22	3.37	15.5
4	8	6.06	0.99	6.06	0.99	9.00	15.0
4	9	6.43	0.82	6.43	0.82	10.00	14.0
4	10	6.26	0.92	6.26	0.92	9.69	16.3
4	11	2.41	2.13	2.41	2.13	0.52	17.1
4	12	2.26	2.14	2.26	2.14	0.37	13.0
4	13	3.03	1.95	3.03	1.95	1.43	12.5
4	14	5.35	2.36	5.35	2.36	5.05	12.0
4	15	6.30	1.22	6.30	1.22	9.05	10.7
4	16	1.58	1.58	1.58	1.58	0.00	9.4
4	17	2.38	2.23	2.38	2.23	0.22	11.5
4	18	4.72	2.70	4.72	2.70	3.10	7.5
4	19	5.80	2.13	5.80	2.13	6.40	5.7
4	20	1.44	1.44	1.44	1.44	0.00	6.5
4	21	3.35	3.03	3.35	3.03	0.45	6.1
4	22	5.64	2.52	5.64	2.52	5.23	8.3
4	23	5.05	2.69	5.05	2.69	4.46	10.3
4	24	4.35	3.29	4.35	3.29	2.10	7.1
4	25	4.44	3.49	4.44	3.49	1.59	10.1
4	26	4.40	2.85	4.40	2.85	2.25	9.9
4	27	2.23	2.18	2.23	2.18	0.06	11.0
4	28	1.44	1.44	1.44	1.44	0.00	7.6
4	29	5.62	2.94	5.62	2.94	4.30	3.9
4	30	5.89	2.80	5.89	2.80	4.88	2.5
5	1	5.53	2.87	5.53	2.87	4.69	11.7
5	2	5.18	2.74	5.18	2.74	3.93	13.9
5	3	3.84	2.19	3.84	2.19	3.29	14.6
5	4	5.60	2.91	5.60	2.91	4.68	13.6
5	5	2.86	2.76	2.86	2.76	0.13	15.2
5	6	4.80	3.68	4.80	3.68	1.71	15.6
5	7	2.86	2.77	2.86	2.77	0.12	12.8
5	8	2.42	2.38	2.42	2.38	0.06	11.2
5	9	2.46	2.41	2.46	2.41	0.07	10.1
5	10	2.22	2.21	2.22	2.21	0.02	8.8
5	11	4.00	3.54	4.00	3.54	0.70	12.4
5	12	7.07	2.22	7.07	2.22	7.56	7.7
5	13	7.35	1.81	7.35	1.81	8.54	12.1
5	14	6.52	2.81	6.52	2.81	5.91	10.8
5	15	5.87	2.94	5.87	2.94	5.00	15.9
5	16	7.73	1.42	7.73	1.42	9.56	14.3
5	17	7.32	2.06	7.32	2.06	8.22	15.0
5	18	8.24	1.03	8.24	1.03	11.34	13.2
5	19	8.23	1.79	8.23	1.79	9.80	16.2
5	20	6.63	2.99	6.63	2.99	5.62	21.0
5	21	3.34	2.99	3.34	2.99	0.86	19.4
5	22	2.11	2.09	2.11	2.09	0.02	17.5
5	23	1.27	1.27	1.27	1.27	0.00	17.7
5	24	2.88	2.79	2.88	2.79	0.12	16.4
5	25	5.72	2.96	5.72	2.96	5.18	17.4
5	26	3.65	2.60	3.65	2.60	2.94	18.9
5	27	3.51	1.99	3.51	1.99	2.69	20.0
5	28	8.46	1.07	8.46	1.07	11.69	21.9
5	29	7.84	1.87	7.84	1.87	9.57	18.3
5	30	2.95	2.83	2.95	2.83	0.18	16.7
5	31	7.86	1.91	7.86	1.91	9.52	17.2
6	1	8.52	1.09	8.52	1.09	11.70	16.0
6	2	8.13	1.55	8.13	1.55	10.53	16.3
6	3	2.41	2.35	2.41	2.35	0.08	16.6
6	4	2.57	2.47	2.57	2.47	0.12	12.6
6	5	6.33	3.59	6.33	3.59	4.38	15.5
6	6	5.28	3.82	5.28	3.82	3.03	14.5
6	7	7.70	2.41	7.70	2.41	8.59	13.9
6	8	8.39	1.34	8.39	1.34	11.15	12.1
6	9	7.78	2.30	7.78	2.30	8.70	13.3
6	10	8.69	1.08	8.69	1.08	12.03	15.1
6	11	8.42	1.33	8.42	1.33	11.15	17.2
6	12	2.28	2.25	2.28	2.25	0.04	17.9
6	13	3.84	2.82	3.84	2.82	2.30	20.8
6	14	4.39	2.53	4.39	2.53	3.38	18.3
6	15	8.67	1.13	8.67	1.13	11.82	17.9
6	16	8.89	1.43	8.89	1.43	11.16	18.8
6	17	5.30	2.92	5.30	2.92	4.19	19.2
6	18	7.31	2.85	7.31	2.85	7.06	21.5
6	19	6.29	3.33	6.29	3.33	3.82	25.7
6	20	1.82	1.81	1.82	1.81	0.01	24.8
6	21	5.41	3.17	5.41	3.17	4.53	23.7
6	22	4.92	2.96	4.92	2.96	3.09	22.7
6	23	0.70	0.70	0.70	0.70	0.00	22.9
6	24	8.18	1.73	8.18	1.73	10.13	22.2
6	25	7.04	3.09	7.04	3.09	6.18	24.2
6	26	3.50	2.85	3.50	2.85	1.83	20.3
6	27	2.70	2.64	2.70	2.64	0.13	19.0
6	28	6.40	3.71	6.40	3.71	4.08	18.5
6	29	4.63	3.75	4.63	3.75	1.99	17.5
6	30	5.58	2.99	5.58	2.99	4.68	19.7
7	1	7.08	2.96	7.08	2.96	6.50	20.9
7	2	4.91	4.04	4.91	4.04	1.29	22.8
7	3	4.00	3.74	4.00	3.74	0.39	23.0
7	4	8.63	1.09	8.63	1.09	11.81	18.7
7	5	5.94	3.19	5.94	3.19	4.70	18.2
7	6	8.19	1.59	8.19	1.59	10.59	16.5
7	7	3.92	2.20	3.92	2.20	3.47	18.9
7	8	3.39	2.85	3.39	2.85	1.13	22.1
7	9	4.15	2.65	4.15	2.65	2.74	26.1
7	10	4.18	3.00	4.18	3.00	2.45	22.5
7	11	7.99	1.74	7.99	1.74	10.05	20.4
7	12	7.22	2.65	7.22	2.65	7.24	20.0
7	13	8.49	1.07	8.49	1.07	11.87	19.7
7	14	8.51	1.04	8.51	1.04	11.88	14.9
7	15	7.87	1.81	7.87	1.81	9.74	12.9
7	16	7.18	2.63	7.18	2.63	7.27	15.4
7	17	2.47	2.37	2.47	2.37	0.16	16.7
7	18	2.70	2.58	2.70	2.58	0.17	21.4
7	19	0.94	0.94	0.94	0.94	0.00	21.5
7	20	4.54	2.84	4.54	2.84	2.81	17.3
7	21	1.06	1.06	1.06	1.06	0.00	24.9
7	22	5.83	3.10	5.83	3.10	4.69	24.1
7	23	7.45	2.06	7.45	2.06	8.57	23.7
7	24	7.64	1.73	7.64	1.73	9.39	21.3
7	25	7.25	2.20	7.25	2.20	8.09	17.9
7	26	6.86	2.51	6.86	2.51	6.99	13.9
7	27	2.22	2.20	2.22	2.20	0.02	17.4
7	28	6.08	3.18	6.08	3.18	4.55	19.3
7	29	7.96	1.10	7.96	1.10	10.72	23.4
7	30	7.07	2.14	7.07	2.14	8.04	16.0
7	31	4.30	2.58	4.30	2.58	2.92	20.5
8	1	7.76	1.20	7.76	1.20	10.10	18.2
8	2	4.57	2.90	4.57	2.90	2.58	17.0
8	3	5.10	2.83	5.10	2.83	4.08	14.9
8	4	5.88	3.06	5.88	3.06	4.26	13.5
8	5	3.44	3.22	3.44	3.22	0.31	16.4
8	6	3.69	3.36	3.69	3.36	0.58	15.9
8	7	7.36	1.30	7.36	1.30	9.46	14.2
8	8	6.65	2.19	6.65	2.19	7.13	16.7
8	9	2.14	2.13	2.14	2.13	0.02	15.2
8	10	6.51	2.21	6.51	2.21	6.92	17.8
