H_Gh/H_Dh/H_Bn,... in [kWh/m2day]	Ta in [°C]

Mon	day	H_Gh	H_Dh	H_Gk	H_Dk	H_Bn	Ta
1	1	0.46	0.46	0.46	0.46	0.00	13.3
1	2	0.62	0.62	0.62	0.62	0.00	12.5
1	3	0.64	0.64	0.64	0.64	0.00	13.0
1	4	2.84	0.58	2.84	0.58	5.66	11.1
1	5	1.81	0.87	1.81	0.87	2.06	10.4
1	6	2.36	1.00	2.36	1.00	3.48	9.8
1	7	2.24	1.14	2.24	1.14	2.90	9.9
1	8	1.22	0.81	1.22	0.81	1.63	9.2
1	9	2.74	0.71	2.74	0.71	5.16	8.8
1	10	2.27	1.20	2.27	1.20	2.94	9.1
1	11	2.16	1.29	2.16	1.29	2.61	9.6
1	12	2.43	1.11	2.43	1.11	3.41	5.9
1	13	1.92	0.95	1.92	0.95	2.29	7.9
1	14	3.11	0.48	3.11	0.48	6.76	8.2
1	15	1.94	1.36	1.94	1.36	1.81	6.9
1	16	1.44	0.78	1.44	0.78	1.89	8.4
1	17	0.95	0.95	0.95	0.95	0.01	9.4
1	18	1.73	1.01	1.73	1.01	1.71	10.2
1	19	2.38	1.22	2.38	1.22	2.84	11.4
1	20	2.23	1.36	2.23	1.36	2.26	10.9
1	21	3.22	0.53	3.22	0.53	6.55	11.9
1	22	3.08	0.70	3.08	0.70	5.79	12.1
1	23	3.23	0.60	3.23	0.60	6.43	10.6
1	24	2.58	1.35	2.58	1.35	3.00	8.7
1	25	2.66	1.32	2.66	1.32	3.23	9.0
1	26	1.91	1.65	1.91	1.65	0.63	11.7
1	27	1.98	1.69	1.98	1.69	0.66	11.5
1	28	3.11	0.94	3.11	0.94	4.98	10.1
1	29	1.67	1.57	1.67	1.57	0.22	10.7
1	30	2.22	1.47	2.22	1.47	1.95	11.2
1	31	2.64	1.54	2.64	1.54	2.49	12.4
2	1	3.12	1.11	3.12	1.11	4.52	12.2
2	2	2.69	1.63	2.69	1.63	2.40	12.1
2	3	1.74	1.47	1.74	1.47	0.62	11.1
2	4	2.49	1.52	2.49	1.52	2.07	8.9
2	5	3.50	0.91	3.50	0.91	5.54	10.4
2	6	3.27	1.27	3.27	1.27	4.36	9.8
2	7	1.61	0.95	1.61	0.95	1.56	10.6
2	8	1.79	1.69	1.79	1.69	0.23	9.5
2	9	2.64	1.72	2.64	1.72	1.82	9.2
2	10	2.99	1.67	2.99	1.67	2.78	10.0
2	11	3.99	0.72	3.99	0.72	6.70	10.6
2	12	3.50	1.29	3.50	1.29	4.46	10.2
2	13	3.05	1.75	3.05	1.75	2.58	11.5
2	14	3.65	1.26	3.65	1.26	4.85	8.0
