H_Gh/H_Dh/H_Bn,... in [kWh/m2day]	Ta in [°C]

Mon	day	H_Gh	H_Dh	H_Gk	H_Dk	H_Bn	Ta
1	1	2.43	0.91	2.43	0.91	3.92	15.1
1	2	1.42	1.26	1.42	1.26	0.39	12.8
1	3	2.53	0.77	2.53	0.77	4.41	13.1
1	4	2.83	0.55	2.83	0.55	5.77	12.0
1	5	1.36	1.25	1.36	1.25	0.22	11.6
1	6	2.58	0.81	2.58	0.81	4.45	11.2
1	7	2.27	1.25	2.27	1.25	3.29	11.5
1	8	1.46	1.22	1.46	1.22	0.66	10.7
1	9	1.60	1.21	1.60	1.21	1.14	10.3
1	10	2.08	1.19	2.08	1.19	2.45	10.6
1	11	2.77	0.67	2.77	0.67	5.32	11.3
1	12	2.99	0.51	2.99	0.51	6.41	7.5
1	13	2.64	0.92	2.64	0.92	4.69	9.5
1	14	0.88	0.88	0.88	0.88	0.01	9.7
1	15	1.02	0.98	1.02	0.98	0.16	8.4
1	16	0.90	0.90	0.90	0.90	0.01	9.9
1	17	2.98	0.62	2.98	0.62	5.93	10.9
1	18	2.90	0.74	2.90	0.74	5.49	11.8
1	19	2.24	1.47	2.24	1.47	2.20	12.7
1	20	0.49	0.49	0.49	0.49	0.00	12.1
1	21	1.62	1.05	1.62	1.05	1.32	13.7
1	22	0.66	0.66	0.66	0.66	0.00	14.0
1	23	1.90	1.51	1.90	1.51	1.05	12.3
1	24	3.33	0.54	3.33	0.54	6.75	10.4
1	25	3.04	0.91	3.04	0.91	5.10	11.0
1	26	3.33	0.57	3.33	0.57	6.52	14.0
1	27	1.35	0.79	1.35	0.79	1.51	13.4
1	28	3.46	0.55	3.46	0.55	6.77	12.2
1	29	2.06	1.73	2.06	1.73	0.75	13.0
1	30	1.87	1.67	1.87	1.67	0.46	13.3
1	31	1.80	1.65	1.80	1.65	0.33	14.7
2	1	2.16	1.80	2.16	1.80	0.82	14.7
